X,Obs_Name,Selection,View,Channel,Begin.Time..s.,End.Time..s.,High.Freq..Hz.,Low.Freq..Hz.,Center.Freq..Hz.,Avg.Entropy..bits.,Peak.Freq.Contour..Hz.,PFC.Max.Freq..Hz.,PFC.Min.Freq..Hz.,Freq.5...Hz.,Freq.95...Hz.,BW.90...Hz.,Peak.Freq..Hz.,Syllable,No_of_Notes,Song_Type,Obs_Code,Note_Code,Complete_Incomplete,Song_Quality,Masking,Time,Date,Site_Type,Site_Name,Site_Code,Year,Season,Site_Group,Treatment,Time_15,Time_30,Time_5
254,AO_FD_SD02_20200220_081500-3,13,Spectrogram 1,1,15.05635854,15.60735922,2565.702,1603.563,2062.5,2.596,1687.500;1687.500;2062.500;2062.500;2250.000;2156.250;2250.000;2062.500;2343.750;1687.500;2156.250;2250.000;2437.500;2250.000;2531.250;1687.500;2156.250;2062.500;2062.500;2062.500;2062.500;1968.750;1687.500;1687.500;1687.500;1687.500;1781.250;1687.500;1781.250;1781.250;1781.250;1968.750;2343.750;2250.000;2437.500;2062.500;2437.500;2531.250;2531.250;2531.250;2531.250;2437.500;2531.250;2531.250;2531.250;2531.250;1875.000;1968.750;2250.000;2343.750;2437.500;2531.250;2250.000;2437.500;2156.250;2437.500;2531.250;1687.500;2437.500;1687.500;1781.250;1968.750;2531.250;1781.250;2250.000;2437.500;2437.500;2437.500;2437.500;1968.750;1968.750;2250.000;2062.500;2156.250;1968.750;1968.750;1968.750;2062.500;2062.500;2062.500;1968.750;1968.750;1781.250;1968.750;1968.750;2437.500;2250.000;2531.250;2437.500;1875.000;2531.250;2437.500;1875.000;2156.250;1687.500;1687.500;1781.250;1875.000;1968.750;1968.750;2062.500;1968.750;2062.500,2531.25,1687.5,1687.5,2531.25,843.75,2062.5,2,4,Song,3,NA,C,G,TRUE,81500,20200220,Restored_FD,Aroli_FD_Removed,AO_FD_1,2020,Winter_2020,Restored,Restored,08:15,08:00,815
255,AO_FD_SD02_20200220_081500-6,19,Spectrogram 1,1,51.99884973,52.59994137,2993.318,1175.947,1875,2.789,2531.250;2812.500;2812.500;2250.000;2250.000;2250.000;2531.250;2531.250;2531.250;2531.250;2437.500;2437.500;2437.500;2343.750;2531.250;2531.250;2718.750;2812.500;2437.500;2625.000;2531.250;2343.750;2437.500;2343.750;2625.000;2437.500;2250.000;2625.000;2250.000;2437.500;2437.500;2906.250;2531.250;2906.250;2250.000;2250.000;2250.000;2156.250;1968.750;1968.750;1875.000;1781.250;1781.250;1593.750;1593.750;1593.750;1593.750;1875.000;1875.000;1875.000;1687.500;1875.000;1968.750;1968.750;1781.250;1781.250;1968.750;1781.250;1781.250;1875.000;1687.500;1875.000;1875.000;1781.250;1687.500;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;1781.250;1875.000;1781.250;1687.500;1875.000;1875.000;1875.000;1875.000;1968.750;1781.250;1875.000;1968.750;1968.750;1687.500;1968.750;1968.750;1687.500;2906.250;1968.750;1687.500;2156.250;1500.000;1406.250;1406.250;1406.250;1406.250;1406.250;1500.000;1500.000;1500.000;1406.250;1406.250;1968.750;1406.250;1500.000;2437.500;2437.500;2531.250;2437.500;2437.500;2437.500,2906.25,1406.25,1500,2531.25,1031.25,1781.25,2,3,Song,1,NA,C,G,FALSE,81500,20200220,Restored_FD,Aroli_FD_Removed,AO_FD_1,2020,Winter_2020,Restored,Restored,08:15,08:00,815
261,AO_FD_SD02_20200221_064000-1,24,Spectrogram 1,1,59.11501764,59.69783212,2939.866,1175.947,1875,3.006,2250.000;2156.250;2156.250;2062.500;2156.250;2156.250;2437.500;2437.500;2343.750;2437.500;2343.750;2437.500;2343.750;2437.500;2343.750;2156.250;2437.500;1781.250;1781.250;1781.250;2343.750;2156.250;1593.750;2906.250;2343.750;1781.250;1687.500;2437.500;2156.250;2156.250;2906.250;2906.250;2156.250;1687.500;1781.250;1781.250;1687.500;1687.500;2437.500;2156.250;2250.000;2250.000;2156.250;2156.250;1875.000;1968.750;1781.250;1968.750;2062.500;1593.750;1593.750;1593.750;1593.750;1593.750;1687.500;1687.500;1687.500;1875.000;1687.500;1968.750;1968.750;1593.750;1687.500;1687.500;1781.250;1875.000;1968.750;1968.750;1968.750;1781.250;1687.500;1687.500;1781.250;1781.250;2062.500;1875.000;1406.250;1500.000;1687.500;2718.750;1687.500;1875.000;1875.000;1687.500;1875.000;1781.250;1968.750;1875.000;1781.250;1687.500;2062.500;1500.000;1500.000;1406.250;1500.000;1500.000;1406.250;1781.250;1406.250;1500.000;1500.000;1500.000;1593.750;1593.750;1687.500;1593.750;1687.500;1593.750;1875.000,2906.25,1406.25,1500,2437.5,937.5,1593.75,2,3,Song,2,NA,C,G,TRUE,64000,20200221,Restored_FD,Aroli_FD_Removed,AO_FD_1,2020,Winter_2020,Restored,Restored,06:30,06:30,640
268,AO_FD_SD02_20200221_064000-2,28,Spectrogram 1,1,66.4754515,67.0674357,2672.606,1336.303,1875,2.68,1968.750;2156.250;1968.750;2062.500;2062.500;2343.750;2437.500;2343.750;2156.250;2625.000;2437.500;2531.250;2437.500;2343.750;2343.750;2437.500;2343.750;2062.500;2437.500;2437.500;2343.750;2250.000;2437.500;1781.250;1781.250;1781.250;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;1781.250;1875.000;1875.000;1875.000;2156.250;2156.250;1875.000;1968.750;1781.250;1968.750;1687.500;1687.500;1687.500;1687.500;1875.000;1687.500;1875.000;1875.000;1687.500;1687.500;1687.500;1687.500;1687.500;1687.500;1687.500;1687.500;1687.500;1687.500;1687.500;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;2531.250;1875.000;2625.000;1687.500;1687.500;1875.000;1875.000;1875.000;1593.750;1781.250;2343.750;2437.500;2625.000;2531.250;2531.250;1781.250;1875.000;1781.250;2437.500;1593.750;1687.500;1687.500;1687.500;1593.750;1687.500;1593.750;1687.500;1687.500;1593.750;1593.750;1593.750;1593.750;1593.750;1500.000;2437.500;1687.500;1687.500,2625,1500,1593.75,2531.25,937.5,1968.75,2,3,Song,1,NA,C,G,TRUE,64000,20200221,Restored_FD,Aroli_FD_Removed,AO_FD_1,2020,Winter_2020,Restored,Restored,06:30,06:30,640
270,AO_FD_SD02_20200221_064000-3,11,Spectrogram 1,1,14.10510197,14.72011615,3046.771,1229.399,2156.25,3.04,2906.250;2906.250;2906.250;2250.000;2062.500;2437.500;2156.250;2437.500;2531.250;2437.500;2156.250;2437.500;2531.250;2437.500;2437.500;2437.500;2437.500;2343.750;2437.500;2437.500;2437.500;2343.750;2062.500;2437.500;2437.500;2531.250;2531.250;2437.500;2437.500;2718.750;2812.500;3000.000;2531.250;2812.500;2718.750;2437.500;2437.500;2062.500;2437.500;2437.500;2531.250;2156.250;2062.500;2250.000;2156.250;2156.250;2250.000;2343.750;2156.250;2156.250;2156.250;1875.000;1968.750;1875.000;1875.000;1875.000;1875.000;1781.250;1875.000;1968.750;1968.750;1968.750;1875.000;1875.000;1875.000;1875.000;1968.750;1875.000;2343.750;1968.750;1875.000;2062.500;1968.750;1875.000;1968.750;1781.250;2343.750;2062.500;2156.250;1781.250;1875.000;1968.750;1968.750;1875.000;1875.000;2156.250;2062.500;1968.750;2062.500;2156.250;2156.250;2343.750;1968.750;2156.250;2062.500;1968.750;2062.500;1968.750;1875.000;1968.750;2062.500;1968.750;1781.250;1500.000;1500.000;1406.250;1406.250;1406.250;1406.250;1500.000;1500.000;1500.000;1500.000;1406.250;1781.250;1406.250,3000,1406.25,1781.25,2531.25,750,2437.5,2,3,Song,1,NA,C,G,FALSE,64000,20200221,Restored_FD,Aroli_FD_Removed,AO_FD_1,2020,Winter_2020,Restored,Restored,06:30,06:30,640
273,AO_FD_SD02_20200221_064000-4,14,Spectrogram 1,1,20.63069085,21.02458803,2832.962,1389.755,1875,3.08,1781.250;2625.000;2625.000;1500.000;2343.750;2250.000;2156.250;2062.500;2062.500;1968.750;2437.500;2437.500;2437.500;2343.750;2343.750;1781.250;1781.250;2062.500;2062.500;1593.750;1781.250;2156.250;2062.500;2156.250;1500.000;2062.500;2156.250;2062.500;1687.500;1687.500;1875.000;1781.250;1781.250;1500.000;2062.500;1593.750;1593.750;2250.000;2625.000;2812.500;2718.750;2531.250;1593.750;1687.500;1687.500;2062.500;2531.250;1781.250;1687.500;1593.750;1687.500;1593.750;2812.500;1687.500;2250.000;2156.250;2156.250;2156.250;1875.000;1781.250;1687.500;1687.500;1593.750;1781.250;1687.500;1875.000;1875.000;1687.500;1687.500;1687.500;1687.500;1687.500;2062.500;2343.750,2812.5,1500,1593.75,2531.25,937.5,1875,2,2,Song,1,NA,C,G,TRUE,64000,20200221,Restored_FD,Aroli_FD_Removed,AO_FD_1,2020,Winter_2020,Restored,Restored,06:30,06:30,640
278,AO_FD_SD02_20200221_064000-5,33,Spectrogram 1,1,70.86134185,71.46174559,2886.414,1336.303,1968.75,2.749,2250.000;2156.250;2062.500;2062.500;2062.500;2062.500;2156.250;2437.500;2437.500;2343.750;2343.750;2437.500;2531.250;2437.500;2343.750;2062.500;2437.500;2437.500;2437.500;2343.750;1968.750;2437.500;2062.500;2343.750;2531.250;2062.500;2437.500;2343.750;2343.750;2343.750;2343.750;2531.250;2343.750;2250.000;2437.500;2531.250;2343.750;2250.000;2250.000;2250.000;1968.750;1875.000;2250.000;1875.000;1593.750;1593.750;1500.000;1687.500;1875.000;1968.750;1968.750;1968.750;2812.500;1781.250;1781.250;1968.750;1968.750;1968.750;2062.500;1875.000;1875.000;1875.000;1875.000;1781.250;1875.000;1968.750;1968.750;1781.250;1968.750;1968.750;1968.750;1687.500;1875.000;1875.000;1968.750;1968.750;1875.000;1781.250;1968.750;1781.250;1875.000;1687.500;1781.250;2062.500;1781.250;1687.500;1593.750;1593.750;1593.750;1500.000;1500.000;1593.750;1781.250;1687.500;1687.500;1687.500;1593.750;1781.250;1593.750;1593.750;1781.250;1968.750;1500.000;1593.750;1687.500;2062.500;1781.250;1781.250;1968.750;1968.750;1593.750;1781.250,2812.5,1500,1593.75,2531.25,937.5,1593.75,2,3,Song,1,NA,C,G,FALSE,64000,20200221,Restored_FD,Aroli_FD_Removed,AO_FD_1,2020,Winter_2020,Restored,Restored,06:30,06:30,640
282,AO_FD_SD57_20200220_060000-5,40,Spectrogram 1,1,154.9517557,155.6348143,2993.318,1710.468,2625,2.659,2625.000;2625.000;2625.000;2718.750;2718.750;2812.500;2812.500;2812.500;2812.500;2531.250;2625.000;2718.750;2718.750;2625.000;2718.750;2718.750;2718.750;2531.250;2812.500;2718.750;2718.750;2718.750;2437.500;2718.750;2718.750;2718.750;2718.750;2812.500;2718.750;2812.500;2625.000;2531.250;2718.750;2718.750;2718.750;1968.750;2625.000;2625.000;2718.750;2343.750;2812.500;2718.750;2906.250;2718.750;2625.000;2812.500;2718.750;2718.750;2343.750;2343.750;2343.750;2343.750;2343.750;2156.250;2062.500;2343.750;2156.250;1968.750;2062.500;2062.500;2062.500;2156.250;2062.500;2250.000;2250.000;2343.750;2156.250;2156.250;2625.000;2625.000;2625.000;2625.000;2625.000;2625.000;2625.000;2156.250;2625.000;2625.000;2625.000;2156.250;2625.000;2718.750;2625.000;2625.000;2343.750;2625.000;2156.250;2062.500;2625.000;2625.000;2625.000;2625.000;2625.000;2625.000;2343.750;2343.750;2625.000;2625.000;2531.250;2625.000;2625.000;2625.000;2625.000;2625.000;2625.000;2625.000;2625.000;2625.000;2531.250;2625.000;2343.750;2343.750;2625.000;2156.250;2156.250;2625.000;2625.000;2625.000;2625.000;2625.000;2625.000;2625.000;2343.750;2625.000;2156.250;2156.250;2156.250,2906.25,1968.75,1968.75,2718.75,750,2625,2,2,Song,2,NA,C,G,FALSE,60000,20200220,Restored_FD,Aroli_FD_Removed,AO_FD_2,2020,Winter_2020,Restored,Restored,06:00,06:00,600
283,AO_FD_SD57_20200220_060000-5,36,Spectrogram 1,1,151.7440765,152.545532,3260.579,1603.563,2531.25,2.777,2718.750;2625.000;2812.500;2718.750;2812.500;2906.250;2906.250;2906.250;2812.500;2812.500;3000.000;2906.250;2906.250;3000.000;3093.750;2906.250;2906.250;2906.250;2812.500;2906.250;2906.250;2906.250;2906.250;2906.250;2906.250;2906.250;2812.500;2906.250;2906.250;2906.250;2906.250;2906.250;2906.250;2906.250;2906.250;2906.250;2906.250;2906.250;2906.250;2906.250;2906.250;2906.250;2906.250;2531.250;2625.000;3187.500;2531.250;2906.250;2906.250;2906.250;2625.000;2906.250;2812.500;2812.500;1687.500;2437.500;2437.500;2437.500;2343.750;2156.250;2437.500;2062.500;2062.500;2062.500;2343.750;1875.000;2062.500;2062.500;2250.000;1968.750;2156.250;1968.750;2343.750;1968.750;2250.000;2718.750;2625.000;2531.250;2625.000;2625.000;2625.000;2625.000;2625.000;2625.000;2625.000;2625.000;2531.250;2625.000;2625.000;2625.000;2625.000;2625.000;2625.000;2343.750;2625.000;2625.000;2625.000;2625.000;2062.500;2156.250;2343.750;2625.000;2625.000;2625.000;2625.000;2625.000;2343.750;2343.750;2156.250;2625.000;2625.000;2625.000;2625.000;2625.000;2625.000;2625.000;2625.000;2625.000;2250.000;2625.000;2343.750;2625.000;2250.000;2343.750;2343.750;2343.750;2625.000;2531.250;2062.500;2343.750;2625.000;2625.000;2625.000;2625.000;2625.000;1968.750;2343.750;2625.000;2625.000;2625.000;1875.000;2625.000;2625.000;2625.000;2531.250;2625.000;2062.500;2343.750;2156.250,3187.5,1687.5,1968.75,2906.25,937.5,2625,2,2,Song,1,NA,C,G,FALSE,60000,20200220,Restored_FD,Aroli_FD_Removed,AO_FD_2,2020,Winter_2020,Restored,Restored,06:00,06:00,600
287,AO_FD_SD57_20200220_061000-1,44,Spectrogram 1,1,173.7493972,174.3032319,2832.962,1443.207,1968.75,2.813,2437.500;2625.000;2718.750;2625.000;2625.000;1500.000;2531.250;2625.000;2625.000;2625.000;2625.000;2718.750;2625.000;2718.750;2718.750;2718.750;2625.000;2625.000;2625.000;2625.000;1593.750;2625.000;2625.000;2625.000;2718.750;2625.000;2625.000;2812.500;2343.750;2625.000;2625.000;2718.750;1968.750;1781.250;2625.000;2156.250;2625.000;1781.250;2156.250;2250.000;2531.250;2718.750;2625.000;2625.000;2625.000;2062.500;2625.000;2625.000;2625.000;2156.250;2343.750;2062.500;2062.500;2062.500;2062.500;2250.000;1968.750;2062.500;1781.250;1687.500;1781.250;2250.000;2343.750;1875.000;1875.000;1875.000;1875.000;1968.750;1968.750;1875.000;2250.000;1781.250;1781.250;1875.000;1781.250;1781.250;1781.250;1781.250;1781.250;1875.000;1593.750;1687.500;1875.000;1781.250;1875.000;1968.750;1875.000;2062.500;1968.750;1968.750;1968.750;1968.750;1968.750;1968.750;1968.750;1968.750;1968.750;1968.750;1968.750;1968.750;1968.750;1968.750,2812.5,1500,1687.5,2718.75,1031.25,1968.75,2,3,Song,1,NA,C,G,FALSE,61000,20200220,Restored_FD,Aroli_FD_Removed,AO_FD_2,2020,Winter_2020,Restored,Restored,06:00,06:00,610
294,AO_FD_SD57_20200222_070500-5,52,Spectrogram 1,1,219.0032682,219.4862636,2726.058,1336.303,2156.25,3.103,2437.500;2437.500;2343.750;2437.500;2625.000;2531.250;2437.500;2437.500;2531.250;2625.000;2437.500;2531.250;1687.500;2156.250;2531.250;2156.250;2437.500;1687.500;2343.750;1500.000;2437.500;2343.750;2531.250;1593.750;2062.500;2250.000;2343.750;2531.250;1781.250;1687.500;2625.000;2250.000;1593.750;2250.000;2250.000;2250.000;2343.750;2531.250;2531.250;2531.250;2250.000;2531.250;1687.500;1875.000;1968.750;1875.000;1875.000;1875.000;1875.000;1875.000;1781.250;1875.000;1968.750;2156.250;2156.250;1500.000;1593.750;1687.500;1875.000;1875.000;1875.000;1968.750;1968.750;1875.000;1875.000;1875.000;1968.750;1875.000;2343.750;2343.750;1875.000;2343.750;2343.750;1781.250;1875.000;2156.250;1968.750;2156.250;2156.250;1781.250;1968.750;2625.000;2062.500;2718.750;2343.750;2250.000;1968.750;1781.250;2531.250,2718.75,1500,1593.75,2625,1031.25,2437.5,2,3,Song,2,NA,C,B,FALSE,70500,20200222,Restored_FD,Aroli_FD_Removed,AO_FD_2,2020,Winter_2020,Restored,Restored,07:00,07:00,705
295,AO_FD_SD57_20200222_070500-5,48,Spectrogram 1,1,213.9375866,214.725381,2672.606,1282.851,2062.5,3.158,2343.750;2437.500;2437.500;2437.500;2625.000;2531.250;2437.500;2437.500;2343.750;2531.250;2250.000;2531.250;2250.000;2437.500;1312.500;2437.500;2531.250;2531.250;2250.000;2343.750;2531.250;2531.250;2531.250;2531.250;1875.000;2531.250;2531.250;2437.500;2625.000;2437.500;2062.500;2531.250;2343.750;2343.750;2531.250;2531.250;1875.000;2156.250;2531.250;2531.250;2531.250;1781.250;2062.500;2437.500;2062.500;1875.000;2437.500;2343.750;2250.000;2343.750;1781.250;1875.000;2062.500;1875.000;1781.250;1781.250;1875.000;1875.000;1875.000;2156.250;1875.000;1687.500;1781.250;1312.500;1875.000;1968.750;2062.500;1875.000;1781.250;2062.500;2156.250;1968.750;1968.750;1875.000;1968.750;1781.250;2062.500;2062.500;2437.500;2062.500;2062.500;1781.250;2156.250;2625.000;1687.500;2625.000;1875.000;1781.250;1968.750;1781.250;1781.250;1781.250;1875.000;1875.000;1968.750;1875.000;1781.250;2062.500;1687.500;2156.250;1781.250;2343.750;2250.000;1781.250;2062.500;1875.000;1593.750;1500.000;2156.250;2062.500;1875.000;1781.250;1687.500;2156.250;1875.000;2531.250;1968.750;2343.750;1593.750;1781.250;1875.000;2062.500;1968.750;2156.250;2062.500;1781.250;1781.250;2156.250;2156.250;2156.250;1968.750;1968.750;1781.250;1875.000;1312.500;2156.250;1968.750;1968.750;2062.500;1968.750;2062.500;1781.250;2250.000;1968.750;1500.000;1687.500;1968.750,2625,1312.5,1406.25,2625,1218.75,2437.5,2,3,Song,1,NA,C,B,FALSE,70500,20200222,Restored_FD,Aroli_FD_Removed,AO_FD_2,2020,Winter_2020,Restored,Restored,07:00,07:00,705
299,AO_FD_SD57_20200222_070500-6,56,Spectrogram 1,1,224.692794,225.2984393,2779.51,1550.111,2343.75,2.929,2437.500;2531.250;2531.250;2343.750;2437.500;2437.500;2437.500;2437.500;2437.500;2437.500;2437.500;2343.750;2531.250;2531.250;2437.500;2437.500;2531.250;2437.500;2437.500;2343.750;2343.750;1593.750;2437.500;2531.250;2343.750;2343.750;1968.750;1593.750;1593.750;1781.250;1875.000;2437.500;2437.500;2437.500;2437.500;2343.750;2343.750;2437.500;2156.250;2437.500;1968.750;2437.500;1875.000;2062.500;1968.750;1875.000;2156.250;2062.500;2062.500;2062.500;2437.500;1593.750;1968.750;2156.250;1687.500;1781.250;2343.750;1875.000;1781.250;1875.000;1875.000;1875.000;2062.500;1781.250;2437.500;1968.750;2531.250;2437.500;2437.500;2343.750;2343.750;2250.000;2343.750;2250.000;1968.750;2343.750;2250.000;2343.750;2343.750;2062.500;2437.500;2437.500;1875.000;1781.250;1875.000;2062.500;2437.500;2250.000;2343.750;2437.500;2437.500;2156.250;2250.000;2343.750;2437.500;2156.250;1968.750;2062.500;1875.000;2437.500;2531.250;1593.750;2343.750;1875.000;1875.000;2250.000;1593.750;2250.000;2250.000;1687.500;2343.750;2250.000;2531.250,2531.25,1593.75,1687.5,2531.25,843.75,2437.5,2,2,Song,1,NA,C,B,FALSE,70500,20200222,Restored_FD,Aroli_FD_Removed,AO_FD_2,2020,Winter_2020,Restored,Restored,07:00,07:00,705
303,AO_FD_SD57_20200222_072500-3,64,Spectrogram 1,1,280.7502529,281.2815479,2779.51,1443.207,1875,2.989,2156.250;2343.750;2343.750;2437.500;2531.250;1781.250;2625.000;2625.000;2437.500;2437.500;1781.250;2343.750;2531.250;2343.750;2625.000;2062.500;1687.500;1500.000;2531.250;2437.500;1968.750;2343.750;2437.500;1593.750;1500.000;2718.750;2343.750;2250.000;1781.250;2718.750;2531.250;2437.500;2437.500;2343.750;2343.750;2156.250;1781.250;2437.500;2343.750;2437.500;2343.750;2343.750;1875.000;2343.750;2062.500;2343.750;2250.000;2250.000;2156.250;2156.250;2343.750;2437.500;2343.750;2343.750;2343.750;2250.000;1781.250;2437.500;2437.500;2437.500;2437.500;2437.500;1593.750;2437.500;1781.250;2062.500;2531.250;1968.750;1875.000;2343.750;1875.000;2156.250;1875.000;1968.750;1875.000;1875.000;1875.000;1687.500;1968.750;1875.000;1968.750;1968.750;1593.750;1593.750;1593.750;1593.750;1875.000;1687.500;1781.250;1781.250;1593.750;1687.500;1968.750;1687.500;1687.500;1687.500;1687.500;1968.750;2156.250,2718.75,1500,1593.75,2531.25,937.5,1593.75,2,3,Song,1,NA,C,G,FALSE,72500,20200222,Restored_FD,Aroli_FD_Removed,AO_FD_2,2020,Winter_2020,Restored,Restored,07:15,07:00,725
304,AO_FD_SD57_20200222_072500-3,64,Spectrogram 1,1,280.7502529,281.2815479,2779.51,1443.207,1875,2.989,2156.250;2343.750;2343.750;2437.500;2531.250;1781.250;2625.000;2625.000;2437.500;2437.500;1781.250;2343.750;2531.250;2343.750;2625.000;2062.500;1687.500;1500.000;2531.250;2437.500;1968.750;2343.750;2437.500;1593.750;1500.000;2718.750;2343.750;2250.000;1781.250;2718.750;2531.250;2437.500;2437.500;2343.750;2343.750;2156.250;1781.250;2437.500;2343.750;2437.500;2343.750;2343.750;1875.000;2343.750;2062.500;2343.750;2250.000;2250.000;2156.250;2156.250;2343.750;2437.500;2343.750;2343.750;2343.750;2250.000;1781.250;2437.500;2437.500;2437.500;2437.500;2437.500;1593.750;2437.500;1781.250;2062.500;2531.250;1968.750;1875.000;2343.750;1875.000;2156.250;1875.000;1968.750;1875.000;1875.000;1875.000;1687.500;1968.750;1875.000;1968.750;1968.750;1593.750;1593.750;1593.750;1593.750;1875.000;1687.500;1781.250;1781.250;1593.750;1687.500;1968.750;1687.500;1687.500;1687.500;1687.500;1968.750;2156.250,2718.75,1500,1593.75,2531.25,937.5,1593.75,2,3,Song,1,NA,C,G,FALSE,72500,20200222,Restored_FD,Aroli_FD_Removed,AO_FD_2,2020,Winter_2020,Restored,Restored,07:15,07:00,725
317,AO_FD_SD57_20200222_072500-4,69,Spectrogram 1,1,293.4500841,294.0147459,2619.154,1389.755,2062.5,2.897,2343.750;2343.750;2437.500;2343.750;2343.750;2531.250;2343.750;2437.500;2343.750;1500.000;2343.750;2437.500;1500.000;2437.500;2437.500;1406.250;2531.250;2437.500;2437.500;1781.250;2531.250;2531.250;1406.250;2531.250;1406.250;1593.750;2343.750;2343.750;1968.750;2343.750;1593.750;2531.250;1593.750;1875.000;1593.750;1875.000;1968.750;1875.000;1968.750;1968.750;1968.750;2437.500;1875.000;1406.250;1781.250;2437.500;1593.750;1781.250;1406.250;1687.500;2156.250;2250.000;2156.250;2156.250;2156.250;2062.500;2062.500;2156.250;2156.250;2343.750;2437.500;2062.500;2250.000;2156.250;2156.250;2343.750;2343.750;2156.250;2156.250;2343.750;2156.250;1781.250;2062.500;2156.250;2062.500;2156.250;1875.000;2156.250;2156.250;1875.000;1875.000;1968.750;1781.250;1875.000;1875.000;2062.500;1875.000;2156.250;2062.500;1968.750;2062.500;1968.750;2343.750;2062.500;1781.250;1687.500;1687.500;1875.000;1687.500;1593.750;1593.750;1593.750;1593.750;1875.000;1781.250,2531.25,1406.25,1593.75,2437.5,843.75,2343.75,2,3,Song,1,NA,C,G,FALSE,72500,20200222,Restored_FD,Aroli_FD_Removed,AO_FD_2,2020,Winter_2020,Restored,Restored,07:15,07:00,725
318,AO_FD_SD57_20200222_072500-4,69,Spectrogram 1,1,293.4500841,294.0147459,2619.154,1389.755,2062.5,2.897,2343.750;2343.750;2437.500;2343.750;2343.750;2531.250;2343.750;2437.500;2343.750;1500.000;2343.750;2437.500;1500.000;2437.500;2437.500;1406.250;2531.250;2437.500;2437.500;1781.250;2531.250;2531.250;1406.250;2531.250;1406.250;1593.750;2343.750;2343.750;1968.750;2343.750;1593.750;2531.250;1593.750;1875.000;1593.750;1875.000;1968.750;1875.000;1968.750;1968.750;1968.750;2437.500;1875.000;1406.250;1781.250;2437.500;1593.750;1781.250;1406.250;1687.500;2156.250;2250.000;2156.250;2156.250;2156.250;2062.500;2062.500;2156.250;2156.250;2343.750;2437.500;2062.500;2250.000;2156.250;2156.250;2343.750;2343.750;2156.250;2156.250;2343.750;2156.250;1781.250;2062.500;2156.250;2062.500;2156.250;1875.000;2156.250;2156.250;1875.000;1875.000;1968.750;1781.250;1875.000;1875.000;2062.500;1875.000;2156.250;2062.500;1968.750;2062.500;1968.750;2343.750;2062.500;1781.250;1687.500;1687.500;1875.000;1687.500;1593.750;1593.750;1593.750;1593.750;1875.000;1781.250,2531.25,1406.25,1593.75,2437.5,843.75,2343.75,2,3,Song,1,NA,C,G,FALSE,72500,20200222,Restored_FD,Aroli_FD_Removed,AO_FD_2,2020,Winter_2020,Restored,Restored,07:15,07:00,725
319,AO_FD_SD57_20200222_075000-1,72,Spectrogram 1,1,322.9532592,323.5497972,2886.414,1496.659,2156.25,2.94,2437.500;2531.250;2718.750;2718.750;2437.500;2718.750;2812.500;2718.750;2718.750;2718.750;2812.500;2437.500;2625.000;2812.500;2812.500;2718.750;2812.500;2718.750;2812.500;2812.500;2718.750;2718.750;2718.750;2718.750;2625.000;2718.750;2718.750;2718.750;2718.750;2812.500;2812.500;2718.750;2718.750;2718.750;2812.500;1875.000;1875.000;2812.500;2718.750;2812.500;2625.000;1500.000;1875.000;2625.000;2343.750;1781.250;2250.000;2156.250;2250.000;2156.250;2062.500;2156.250;2062.500;2250.000;2156.250;2062.500;2062.500;2062.500;1968.750;2062.500;2156.250;1968.750;2062.500;1968.750;1968.750;1968.750;2718.750;2812.500;1875.000;1968.750;2250.000;2250.000;2156.250;2062.500;2062.500;1968.750;1968.750;1968.750;2062.500;1968.750;1968.750;1968.750;2156.250;2437.500;2437.500;2437.500;2062.500;2437.500;2437.500;2437.500;2156.250;2062.500;2156.250;2156.250;2437.500;2062.500;2062.500;2062.500;1781.250;1875.000;1781.250;2062.500;1968.750;1781.250;2250.000;1875.000;1968.750;2062.500;1968.750;1781.250;2062.500,2812.5,1500,1687.5,2812.5,1125,2718.75,2,3,Song,1,NA,C,G,TRUE,75000,20200222,Restored_FD,Aroli_FD_Removed,AO_FD_2,2020,Winter_2020,Restored,Restored,07:45,07:30,750
323,AO_FD_SD57_20200222_075000-2,76,Spectrogram 1,1,332.7690876,332.8850065,2939.866,2191.537,2625,2.328,2531.250;2531.250;2625.000;2625.000;2625.000;2625.000;2718.750;2531.250;2625.000;2718.750;2625.000;2718.750;2718.750;2718.750;2718.750;2718.750;2812.500;2812.500;2625.000;2625.000,2812.5,2531.25,2343.75,2812.5,468.75,2625,1,1,Contact,1,1,C,G,FALSE,75000,20200222,Restored_FD,Aroli_FD_Removed,AO_FD_2,2020,Winter_2020,Restored,Restored,07:45,07:30,750
324,AO_FD_SD57_20200222_075000-2,77,Spectrogram 1,1,335.4109385,335.5268574,2993.318,2138.085,2718.75,2.408,2156.250;2531.250;2531.250;2718.750;2531.250;2531.250;2625.000;2343.750;2718.750;2718.750;2625.000;2718.750;2718.750;2812.500;2718.750;2718.750;2718.750;2718.750;2531.250;2718.750;2625.000,2812.5,2156.25,2343.75,2812.5,468.75,2718.75,1,1,Contact,2,1,C,G,FALSE,75000,20200222,Restored_FD,Aroli_FD_Removed,AO_FD_2,2020,Winter_2020,Restored,Restored,07:45,07:30,750
